iter	Passed	Remaining
0	1	51
1	2	64
2	4	66
3	5	62
4	6	62
5	8	61
6	10	61
7	11	61
8	13	60
9	15	60
10	16	58
11	18	58
12	19	55
13	20	53
14	22	52
15	24	51
16	25	50
17	27	49
18	29	48
19	31	47
20	33	45
21	35	44
22	36	43
23	38	42
24	40	40
25	42	39
26	44	37
27	45	36
28	47	34
29	48	32
30	50	30
31	51	28
32	53	27
33	55	25
34	56	24
35	58	22
36	60	21
37	62	19
38	64	18
39	65	16
40	67	14
41	68	13
42	70	11
43	72	9
44	74	8
45	77	6
46	79	5
47	82	3
48	84	1
49	87	0
